date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:33	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Sep%202025%2008:10:31%20GMT	https://studentportal.bdu.edu.et/robots.txt		(from )
11:10:34	12881/12881	---MC-	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2008:10:32%20GMT	https://studentportal.bdu.edu.et/	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/index.html	(from )
11:10:34	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221d10b4348a5e57e%22	https://studentportal.bdu.edu.et/favicon.ico	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/favicon.ico	(from https://studentportal.bdu.edu.et/)
11:10:36	3771/3771	---M--	200	added ('OK')	text/css	etag:%221d9ce2c3f4c75bb%22	https://studentportal.bdu.edu.et/css/Site.css	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/Site.css	(from https://studentportal.bdu.edu.et/)
11:10:37	1085185/1085185	---M--	200	added ('OK')	text/css	etag:%221dae9c21715c801%22	https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/vendor1cb0.css	(from https://studentportal.bdu.edu.et/)
11:10:37	259/259	---M--	200	added ('OK')	text/css	etag:%221d90e7012e0f803%22	https://studentportal.bdu.edu.et/css/amb.css	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/amb.css	(from https://studentportal.bdu.edu.et/)
11:10:38	8645/8645	---M--	200	added ('OK')	text/css	etag:%221d91187a45d8cc5%22	https://studentportal.bdu.edu.et/css/cr.css	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/cr.css	(from https://studentportal.bdu.edu.et/)
11:10:39	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Sep%202025%2008:10:38%20GMT	https://studentportal.bdu.edu.et/css/grid.css	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/grid.5.delayed	(from https://studentportal.bdu.edu.et/)
11:10:41	17173/17173	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Sep%202025%2008:10:40%20GMT	https://studentportal.bdu.edu.et/Account/Login	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/Account/Login.html	(from https://studentportal.bdu.edu.et/)
11:10:42	64320/64320	---M--	200	added ('OK')	font/woff2	etag:%221d82ee460dd3440%22	https://studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-300.woff2	/home/killshot/Desktop/intern/bit/studentportal.bdu.edu.et/css/devextreme/fonts/Roboto-300.woff2	(from https://studentportal.bdu.edu.et/css/vendor.css?v=uiqTEjOzM7MWJqHBHEqwbI5wEHS-fP4htH-mKJSUx5E)
